price,bedrooms,bathrooms,sqft_living,sqft_lot
313000,3,1.5,1340,7912
2384000,5,2.5,3650,9050
342000,3,2,1930,11947
420000,3,2.25,2000,8030
550000,4,2.5,1940,10500
490000,2,1,880,6380
335000,2,2,1350,2560
482000,4,2.5,2710,35868
452500,3,2.5,2430,88426
640000,4,2,1520,6200
463000,3,1.75,1710,7320
1400000,4,2.5,2920,4000
588500,3,1.75,2330,14892
365000,3,1,1090,6435
1200000,5,2.75,2910,9480
242500,3,1.5,1200,9720
419000,3,1.5,1570,6700
367500,4,3,3110,7231
257950,3,1.75,1370,5858
275000,3,1.5,1180,10277
750000,3,1.75,2240,10578
435000,4,1,1450,8800
626000,3,2.25,1750,1572
612500,4,2.5,2730,12261
495000,4,1.75,1600,6380
285000,3,2.5,2090,10834
615000,3,1.75,2360,7291
698000,4,2.25,2200,11250
675000,5,2.5,2820,67518
790000,3,2.5,2600,4750
382500,4,1.75,1560,8700
499950,4,2.5,2860,3345
650000,4,2,1820,5000
625000,4,2.5,2820,8408
400000,4,2.5,3630,42884
604000,3,2.5,3240,33151
440000,2,1,800,4850
287200,3,3,1850,19966
403000,3,2,1960,13100
750000,3,2.5,2390,6550
335000,3,2.25,1580,16215
260000,4,2,1480,8625
308500,2,1,850,6174
439950,3,2.5,1770,2875
235000,2,1,1210,9400
315000,3,1,1160,9180
437500,3,2.25,1970,35100
407500,3,2.5,1930,10460
445700,3,2.5,1270,1180
838000,4,2.5,3310,42998
630000,4,2.75,2710,37277
550000,3,1.75,2910,35200
805000,3,2,2710,4500
284000,3,1.75,1800,23103
470000,5,2.5,2210,9655
430000,4,1.5,1920,10000
491500,4,1.75,2190,125452
785000,5,3.25,3660,11995
385000,3,3.25,1320,1327
295000,2,2.5,1630,1368
555000,4,2.5,3310,6500
459990,3,2.5,2680,5539
625000,4,3.25,2730,54014
300000,3,2.5,2540,5050
625000,4,2.75,2920,6605
553000,2,1,900,5000
379880,3,2.5,1650,14054
310000,3,1,1010,9945
775000,2,2.5,2680,7392
365000,3,2.5,2200,7350
331950,4,2.5,2530,9933
783500,3,2.5,2850,7130
628000,4,2,2280,6010
560000,3,2.5,1900,8744
900000,3,1,1330,77972
531000,2,3,1270,1175
831000,4,3,2170,4000
780000,4,2.5,2730,10281
755000,4,2.5,2120,10202
705380,3,2.5,2490,4343
627000,4,2.25,1990,7712
865000,4,3,3690,9892
580000,2,1,2540,7000
410000,3,2.25,1800,36704
485000,4,3,2340,7048
400000,2,1.75,2110,9519
549000,2,1,1140,5400
620000,3,1.75,1480,2185
405000,2,3,1410,1240
232000,2,1,1200,8063
800866,5,2.5,3180,13806
650000,3,1.5,2160,9000
823000,6,1.75,2920,5000
770000,3,2,2350,5700
524000,3,1.75,1560,5520
541125,5,2.75,2740,8426
670000,3,2.5,1680,2000
384900,5,2.5,3090,12750
406100,3,2.25,1410,1332
1395000,5,3.5,4010,8510
736500,4,2.5,3180,21904
570000,3,2.25,2010,6000
787000,3,1.75,1330,7500
328000,4,2.5,2370,6500
435000,5,2,1840,9240
499000,4,2.5,2910,6479
501000,4,1,2070,7519
1090000,4,2.5,4340,141570
400000,2,1,840,5510
220000,4,1.5,1240,9600
657100,4,1,1390,4240
309950,4,2.75,2310,5000
300000,3,2,1050,10072
525888,5,1.75,2550,71874
740000,4,1.75,2010,3600
340000,5,1,1120,9022
398750,3,2.5,2230,4000
206000,2,1,810,7158
1030000,5,2.75,3190,16920
600000,3,1.75,1670,39639
379950,4,1.75,1970,9389
287000,3,1,1450,6000
2280000,7,8,13540,307752
309950,3,2.5,1880,7838
600000,3,1.75,1880,6360
418000,3,2,1410,6030
449250,4,2,1480,3844
329950,2,1,1140,5250
245000,3,1.75,1920,9306
549000,4,2.5,2910,6338
800000,3,2.5,3240,7857
249950,3,2,1550,15040
210000,5,2,2050,10200
1425000,2,2.5,2220,4000
585000,2,1,1770,8640
615000,4,1.75,2300,11700
618500,3,2,1800,5000
487585,4,1.75,2010,9211
509900,3,2.5,1790,2700
631625,4,2.5,2440,6651
555000,3,2.5,1940,3211
340000,2,1.5,1160,1438
830000,4,2.5,3400,9692
890000,4,4.25,4420,5750
366750,3,3,1571,2017
415000,3,2.25,1620,998
416286,3,2.5,1408,989
478000,3,2.5,3040,4535
890000,5,3.5,4490,6000
419190,2,2.5,1590,1426
712198,4,2.5,2450,4247
397000,4,2,1440,7680
450000,2,2,1100,3000
353000,3,1,1350,7740
609000,4,2.5,2150,37981
234000,3,1.75,1490,8366
561000,3,2,2000,7000
469000,2,1,1030,4400
329350,2,1,720,6687
488000,5,2,2020,5000
279900,3,1.75,1580,8151
606000,4,2.5,2110,13850
312000,4,2,1300,7054
650000,3,1.5,1630,7475
1135000,4,2.75,3370,8103
325000,4,2.5,1890,6156
425000,4,2,1520,7983
219000,2,1,900,5160
250000,3,1,1050,6874
390000,3,1.75,1260,6500
475000,6,3,3470,117612
736000,4,2.5,2290,12047
407000,4,2.25,2810,23400
272000,3,2.5,1650,13816
362000,3,2.25,1640,14374
535000,3,2.5,1850,10109
284000,4,2.5,2000,5390
367500,3,1.5,1410,9647
379900,4,1.75,1500,11600
